Code,GeoFips,GeoName,TimePeriod,Description,CL_UNIT,UNIT_MULT,DataValue,NoteRef,PI
SAINC1-2,29000,Missouri,1940,Population (persons),Number of persons,0,"3,786,000",,3786000.0
SAINC1-3,30000,Montana,1940,Per capita personal income (dollars),Dollars,0,566,,566.0
SAINC1-2,30000,Montana,1940,Population (persons),Number of persons,0,"558,000",,558000.0
SAINC1-3,31000,Nebraska,1940,Per capita personal income (dollars),Dollars,0,440,,440.0
SAINC1-2,31000,Nebraska,1940,Population (persons),Number of persons,0,"1,316,000",,1316000.0
SAINC1-3,32000,Nevada,1940,Per capita personal income (dollars),Dollars,0,902,,902.0
SAINC1-2,32000,Nevada,1940,Population (persons),Number of persons,0,"113,000",,113000.0
SAINC1-3,33000,New Hampshire,1940,Per capita personal income (dollars),Dollars,0,586,,586.0
SAINC1-2,33000,New Hampshire,1940,Population (persons),Number of persons,0,"492,000",,492000.0
SAINC1-3,34000,New Jersey,1940,Per capita personal income (dollars),Dollars,0,830,,830.0
SAINC1-2,34000,New Jersey,1940,Population (persons),Number of persons,0,"4,175,000",,4175000.0
SAINC1-3,35000,New Mexico,1940,Per capita personal income (dollars),Dollars,0,377,,377.0
SAINC1-2,35000,New Mexico,1940,Population (persons),Number of persons,0,"531,000",,531000.0
SAINC1-3,36000,New York,1940,Per capita personal income (dollars),Dollars,0,883,,883.0
SAINC1-2,36000,New York,1940,Population (persons),Number of persons,0,"13,456,000",,13456000.0
SAINC1-3,37000,North Carolina,1940,Per capita personal income (dollars),Dollars,0,323,,323.0
SAINC1-2,37000,North Carolina,1940,Population (persons),Number of persons,0,"3,574,000",,3574000.0
SAINC1-3,38000,North Dakota,1940,Per capita personal income (dollars),Dollars,0,352,,352.0
SAINC1-2,38000,North Dakota,1940,Population (persons),Number of persons,0,"640,000",,640000.0
SAINC1-3,39000,Ohio,1940,Per capita personal income (dollars),Dollars,0,664,,664.0
SAINC1-2,39000,Ohio,1940,Population (persons),Number of persons,0,"6,929,000",,6929000.0
SAINC1-3,40000,Oklahoma,1940,Per capita personal income (dollars),Dollars,0,374,,374.0
SAINC1-2,40000,Oklahoma,1940,Population (persons),Number of persons,0,"2,325,000",,2325000.0
SAINC1-3,41000,Oregon,1940,Per capita personal income (dollars),Dollars,0,611,,611.0
SAINC1-2,41000,Oregon,1940,Population (persons),Number of persons,0,"1,086,000",,1086000.0
SAINC1-3,42000,Pennsylvania,1940,Per capita personal income (dollars),Dollars,0,659,,659.0
SAINC1-2,42000,Pennsylvania,1940,Population (persons),Number of persons,0,"9,896,000",,9896000.0
SAINC1-3,44000,Rhode Island,1940,Per capita personal income (dollars),Dollars,0,767,,767.0
SAINC1-2,44000,Rhode Island,1940,Population (persons),Number of persons,0,"719,000",,719000.0
SAINC1-3,45000,South Carolina,1940,Per capita personal income (dollars),Dollars,0,314,,314.0
SAINC1-2,45000,South Carolina,1940,Population (persons),Number of persons,0,"1,902,000",,1902000.0
SAINC1-3,46000,South Dakota,1940,Per capita personal income (dollars),Dollars,0,357,,357.0
SAINC1-2,46000,South Dakota,1940,Population (persons),Number of persons,0,"641,000",,641000.0
SAINC1-3,47000,Tennessee,1940,Per capita personal income (dollars),Dollars,0,339,,339.0
SAINC1-2,47000,Tennessee,1940,Population (persons),Number of persons,0,"2,935,000",,2935000.0
SAINC1-3,48000,Texas,1940,Per capita personal income (dollars),Dollars,0,438,,438.0
SAINC1-2,48000,Texas,1940,Population (persons),Number of persons,0,"6,425,000",,6425000.0
SAINC1-3,49000,Utah,1940,Per capita personal income (dollars),Dollars,0,484,,484.0
SAINC1-2,49000,Utah,1940,Population (persons),Number of persons,0,"552,000",,552000.0
SAINC1-3,50000,Vermont,1940,Per capita personal income (dollars),Dollars,0,519,,519.0
SAINC1-2,50000,Vermont,1940,Population (persons),Number of persons,0,"363,000",,363000.0
SAINC1-3,51000,Virginia,1940,Per capita personal income (dollars),Dollars,0,480,,480.0
SAINC1-2,51000,Virginia,1940,Population (persons),Number of persons,0,"2,720,000",,2720000.0
SAINC1-3,53000,Washington,1940,Per capita personal income (dollars),Dollars,0,667,,667.0
SAINC1-2,53000,Washington,1940,Population (persons),Number of persons,0,"1,740,000",,1740000.0
SAINC1-3,54000,West Virginia,1940,Per capita personal income (dollars),Dollars,0,409,,409.0
SAINC1-2,54000,West Virginia,1940,Population (persons),Number of persons,0,"1,907,000",,1907000.0
SAINC1-3,55000,Wisconsin,1940,Per capita personal income (dollars),Dollars,0,548,,548.0
SAINC1-2,55000,Wisconsin,1940,Population (persons),Number of persons,0,"3,143,000",,3143000.0
SAINC1-3,56000,Wyoming,1940,Per capita personal income (dollars),Dollars,0,602,,602.0
SAINC1-2,56000,Wyoming,1940,Population (persons),Number of persons,0,"250,000",,250000.0
SAINC1-3,01000,Alabama,1941,Per capita personal income (dollars),Dollars,0,379,,379.0
SAINC1-2,01000,Alabama,1941,Population (persons),Number of persons,0,"2,902,000",,2902000.0
SAINC1-3,02000,Alaska *,1941,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,02000,Alaska *,1941,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,04000,Arizona,1941,Per capita personal income (dollars),Dollars,0,649,,649.0
SAINC1-2,04000,Arizona,1941,Population (persons),Number of persons,0,"492,000",,492000.0
SAINC1-3,05000,Arkansas,1941,Per capita personal income (dollars),Dollars,0,344,,344.0
SAINC1-2,05000,Arkansas,1941,Population (persons),Number of persons,0,"1,966,000",,1966000.0
SAINC1-3,06000,California,1941,Per capita personal income (dollars),Dollars,0,"1,034",,1034.0
SAINC1-2,06000,California,1941,Population (persons),Number of persons,0,"7,269,000",,7269000.0
SAINC1-3,08000,Colorado,1941,Per capita personal income (dollars),Dollars,0,655,,655.0
SAINC1-2,08000,Colorado,1941,Population (persons),Number of persons,0,"1,124,000",,1124000.0
SAINC1-3,09000,Connecticut,1941,Per capita personal income (dollars),Dollars,0,"1,159",,1159.0
SAINC1-2,09000,Connecticut,1941,Population (persons),Number of persons,0,"1,751,000",,1751000.0
SAINC1-3,10000,Delaware,1941,Per capita personal income (dollars),Dollars,0,"1,179",,1179.0
SAINC1-2,10000,Delaware,1941,Population (persons),Number of persons,0,"276,000",,276000.0
SAINC1-3,11000,District of Columbia,1941,Per capita personal income (dollars),Dollars,0,"1,271",,1271.0
SAINC1-2,11000,District of Columbia,1941,Population (persons),Number of persons,0,"764,000",,764000.0
SAINC1-3,12000,Florida,1941,Per capita personal income (dollars),Dollars,0,634,,634.0
SAINC1-2,12000,Florida,1941,Population (persons),Number of persons,0,"2,028,000",,2028000.0
SAINC1-3,13000,Georgia,1941,Per capita personal income (dollars),Dollars,0,432,,432.0
SAINC1-2,13000,Georgia,1941,Population (persons),Number of persons,0,"3,186,000",,3186000.0
SAINC1-3,15000,Hawaii *,1941,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,15000,Hawaii *,1941,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,16000,Idaho,1941,Per capita personal income (dollars),Dollars,0,594,,594.0
SAINC1-2,16000,Idaho,1941,Population (persons),Number of persons,0,"502,000",,502000.0
SAINC1-3,17000,Illinois,1941,Per capita personal income (dollars),Dollars,0,901,,901.0
SAINC1-2,17000,Illinois,1941,Population (persons),Number of persons,0,"7,995,000",,7995000.0
SAINC1-3,18000,Indiana,1941,Per capita personal income (dollars),Dollars,0,726,,726.0
SAINC1-2,18000,Indiana,1941,Population (persons),Number of persons,0,"3,481,000",,3481000.0
SAINC1-3,19000,Iowa,1941,Per capita personal income (dollars),Dollars,0,603,,603.0
SAINC1-2,19000,Iowa,1941,Population (persons),Number of persons,0,"2,491,000",,2491000.0
SAINC1-3,20000,Kansas,1941,Per capita personal income (dollars),Dollars,0,556,,556.0
SAINC1-2,20000,Kansas,1941,Population (persons),Number of persons,0,"1,767,000",,1767000.0
SAINC1-3,21000,Kentucky,1941,Per capita personal income (dollars),Dollars,0,401,,401.0
SAINC1-2,21000,Kentucky,1941,Population (persons),Number of persons,0,"2,851,000",,2851000.0
SAINC1-3,22000,Louisiana,1941,Per capita personal income (dollars),Dollars,0,465,,465.0
SAINC1-2,22000,Louisiana,1941,Population (persons),Number of persons,0,"2,500,000",,2500000.0
SAINC1-3,23000,Maine,1941,Per capita personal income (dollars),Dollars,0,641,,641.0
SAINC1-2,23000,Maine,1941,Population (persons),Number of persons,0,"852,000",,852000.0
SAINC1-3,24000,Maryland,1941,Per capita personal income (dollars),Dollars,0,896,,896.0
SAINC1-2,24000,Maryland,1941,Population (persons),Number of persons,0,"1,917,000",,1917000.0
SAINC1-3,25000,Massachusetts,1941,Per capita personal income (dollars),Dollars,0,921,,921.0
SAINC1-2,25000,Massachusetts,1941,Population (persons),Number of persons,0,"4,400,000",,4400000.0
SAINC1-3,26000,Michigan,1941,Per capita personal income (dollars),Dollars,0,834,,834.0
SAINC1-2,26000,Michigan,1941,Population (persons),Number of persons,0,"5,468,000",,5468000.0
SAINC1-3,27000,Minnesota,1941,Per capita personal income (dollars),Dollars,0,616,,616.0
SAINC1-2,27000,Minnesota,1941,Population (persons),Number of persons,0,"2,719,000",,2719000.0
SAINC1-3,28000,Mississippi,1941,Per capita personal income (dollars),Dollars,0,316,,316.0
SAINC1-2,28000,Mississippi,1941,Population (persons),Number of persons,0,"2,188,000",,2188000.0
SAINC1-3,29000,Missouri,1941,Per capita personal income (dollars),Dollars,0,646,,646.0
SAINC1-2,29000,Missouri,1941,Population (persons),Number of persons,0,"3,815,000",,3815000.0
SAINC1-3,30000,Montana,1941,Per capita personal income (dollars),Dollars,0,708,,708.0
SAINC1-2,30000,Montana,1941,Population (persons),Number of persons,0,"543,000",,543000.0
SAINC1-3,31000,Nebraska,1941,Per capita personal income (dollars),Dollars,0,548,,548.0
SAINC1-2,31000,Nebraska,1941,Population (persons),Number of persons,0,"1,272,000",,1272000.0
SAINC1-3,32000,Nevada,1941,Per capita personal income (dollars),Dollars,0,"1,001",,1001.0
SAINC1-2,32000,Nevada,1941,Population (persons),Number of persons,0,"122,000",,122000.0
SAINC1-3,33000,New Hampshire,1941,Per capita personal income (dollars),Dollars,0,720,,720.0
SAINC1-2,33000,New Hampshire,1941,Population (persons),Number of persons,0,"491,000",,491000.0
SAINC1-3,34000,New Jersey,1941,Per capita personal income (dollars),Dollars,0,969,,969.0
SAINC1-2,34000,New Jersey,1941,Population (persons),Number of persons,0,"4,255,000",,4255000.0
SAINC1-3,35000,New Mexico,1941,Per capita personal income (dollars),Dollars,0,476,,476.0
SAINC1-2,35000,New Mexico,1941,Population (persons),Number of persons,0,"505,000",,505000.0
SAINC1-3,36000,New York,1941,Per capita personal income (dollars),Dollars,0,"1,012",,1012.0
SAINC1-2,36000,New York,1941,Population (persons),Number of persons,0,"13,270,000",,13270000.0
SAINC1-3,37000,North Carolina,1941,Per capita personal income (dollars),Dollars,0,430,,430.0
SAINC1-2,37000,North Carolina,1941,Population (persons),Number of persons,0,"3,596,000",,3596000.0
SAINC1-3,38000,North Dakota,1941,Per capita personal income (dollars),Dollars,0,521,,521.0
SAINC1-2,38000,North Dakota,1941,Population (persons),Number of persons,0,"615,000",,615000.0
SAINC1-3,39000,Ohio,1941,Per capita personal income (dollars),Dollars,0,828,,828.0
SAINC1-2,39000,Ohio,1941,Population (persons),Number of persons,0,"6,958,000",,6958000.0
SAINC1-3,40000,Oklahoma,1941,Per capita personal income (dollars),Dollars,0,436,,436.0
SAINC1-2,40000,Oklahoma,1941,Population (persons),Number of persons,0,"2,262,000",,2262000.0
SAINC1-3,41000,Oregon,1941,Per capita personal income (dollars),Dollars,0,823,,823.0
SAINC1-2,41000,Oregon,1941,Population (persons),Number of persons,0,"1,070,000",,1070000.0
SAINC1-3,42000,Pennsylvania,1941,Per capita personal income (dollars),Dollars,0,786,,786.0
SAINC1-2,42000,Pennsylvania,1941,Population (persons),Number of persons,0,"9,918,000",,9918000.0
SAINC1-3,44000,Rhode Island,1941,Per capita personal income (dollars),Dollars,0,958,,958.0
SAINC1-2,44000,Rhode Island,1941,Population (persons),Number of persons,0,"744,000",,744000.0
SAINC1-3,45000,South Carolina,1941,Per capita personal income (dollars),Dollars,0,415,,415.0
SAINC1-2,45000,South Carolina,1941,Population (persons),Number of persons,0,"1,963,000",,1963000.0
SAINC1-3,46000,South Dakota,1941,Per capita personal income (dollars),Dollars,0,470,,470.0
SAINC1-2,46000,South Dakota,1941,Population (persons),Number of persons,0,"613,000",,613000.0
SAINC1-3,47000,Tennessee,1941,Per capita personal income (dollars),Dollars,0,441,,441.0
SAINC1-2,47000,Tennessee,1941,Population (persons),Number of persons,0,"2,976,000",,2976000.0
SAINC1-3,48000,Texas,1941,Per capita personal income (dollars),Dollars,0,539,,539.0
SAINC1-2,48000,Texas,1941,Population (persons),Number of persons,0,"6,599,000",,6599000.0
SAINC1-3,49000,Utah,1941,Per capita personal income (dollars),Dollars,0,600,,600.0
SAINC1-2,49000,Utah,1941,Population (persons),Number of persons,0,"551,000",,551000.0
SAINC1-3,50000,Vermont,1941,Per capita personal income (dollars),Dollars,0,650,,650.0
SAINC1-2,50000,Vermont,1941,Population (persons),Number of persons,0,"348,000",,348000.0
SAINC1-3,51000,Virginia,1941,Per capita personal income (dollars),Dollars,0,614,,614.0
SAINC1-2,51000,Virginia,1941,Population (persons),Number of persons,0,"2,975,000",,2975000.0
SAINC1-3,53000,Washington,1941,Per capita personal income (dollars),Dollars,0,885,,885.0
SAINC1-2,53000,Washington,1941,Population (persons),Number of persons,0,"1,793,000",,1793000.0
SAINC1-3,54000,West Virginia,1941,Per capita personal income (dollars),Dollars,0,500,,500.0
SAINC1-2,54000,West Virginia,1941,Population (persons),Number of persons,0,"1,885,000",,1885000.0
SAINC1-3,55000,Wisconsin,1941,Per capita personal income (dollars),Dollars,0,673,,673.0
SAINC1-2,55000,Wisconsin,1941,Population (persons),Number of persons,0,"3,140,000",,3140000.0
SAINC1-3,56000,Wyoming,1941,Per capita personal income (dollars),Dollars,0,793,,793.0
SAINC1-2,56000,Wyoming,1941,Population (persons),Number of persons,0,"249,000",,249000.0
SAINC1-3,01000,Alabama,1942,Per capita personal income (dollars),Dollars,0,532,,532.0
SAINC1-2,01000,Alabama,1942,Population (persons),Number of persons,0,"2,950,000",,2950000.0
SAINC1-3,02000,Alaska *,1942,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,02000,Alaska *,1942,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,04000,Arizona,1942,Per capita personal income (dollars),Dollars,0,953,,953.0
SAINC1-2,04000,Arizona,1942,Population (persons),Number of persons,0,"530,000",,530000.0
SAINC1-3,05000,Arkansas,1942,Per capita personal income (dollars),Dollars,0,491,,491.0
SAINC1-2,05000,Arkansas,1942,Population (persons),Number of persons,0,"1,983,000",,1983000.0
SAINC1-3,06000,California,1942,Per capita personal income (dollars),Dollars,0,"1,324",,1324.0
SAINC1-2,06000,California,1942,Population (persons),Number of persons,0,"7,814,000",,7814000.0
SAINC1-3,08000,Colorado,1942,Per capita personal income (dollars),Dollars,0,917,,917.0
SAINC1-2,08000,Colorado,1942,Population (persons),Number of persons,0,"1,133,000",,1133000.0
SAINC1-3,09000,Connecticut,1942,Per capita personal income (dollars),Dollars,0,"1,440",,1440.0
SAINC1-2,09000,Connecticut,1942,Population (persons),Number of persons,0,"1,798,000",,1798000.0
SAINC1-3,10000,Delaware,1942,Per capita personal income (dollars),Dollars,0,"1,312",,1312.0
SAINC1-2,10000,Delaware,1942,Population (persons),Number of persons,0,"281,000",,281000.0
SAINC1-3,11000,District of Columbia,1942,Per capita personal income (dollars),Dollars,0,"1,474",,1474.0
SAINC1-2,11000,District of Columbia,1942,Population (persons),Number of persons,0,"846,000",,846000.0
SAINC1-3,12000,Florida,1942,Per capita personal income (dollars),Dollars,0,837,,837.0
SAINC1-2,12000,Florida,1942,Population (persons),Number of persons,0,"2,190,000",,2190000.0
SAINC1-3,13000,Georgia,1942,Per capita personal income (dollars),Dollars,0,592,,592.0
SAINC1-2,13000,Georgia,1942,Population (persons),Number of persons,0,"3,215,000",,3215000.0
SAINC1-3,15000,Hawaii *,1942,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,15000,Hawaii *,1942,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,16000,Idaho,1942,Per capita personal income (dollars),Dollars,0,919,,919.0
SAINC1-2,16000,Idaho,1942,Population (persons),Number of persons,0,"481,000",,481000.0
SAINC1-3,17000,Illinois,1942,Per capita personal income (dollars),Dollars,0,"1,049",,1049.0
SAINC1-2,17000,Illinois,1942,Population (persons),Number of persons,0,"8,054,000",,8054000.0
SAINC1-3,18000,Indiana,1942,Per capita personal income (dollars),Dollars,0,919,,919.0
SAINC1-2,18000,Indiana,1942,Population (persons),Number of persons,0,"3,516,000",,3516000.0
SAINC1-3,19000,Iowa,1942,Per capita personal income (dollars),Dollars,0,829,,829.0
SAINC1-2,19000,Iowa,1942,Population (persons),Number of persons,0,"2,441,000",,2441000.0
SAINC1-3,20000,Kansas,1942,Per capita personal income (dollars),Dollars,0,860,,860.0
SAINC1-2,20000,Kansas,1942,Population (persons),Number of persons,0,"1,769,000",,1769000.0
SAINC1-3,21000,Kentucky,1942,Per capita personal income (dollars),Dollars,0,551,,551.0
SAINC1-2,21000,Kentucky,1942,Population (persons),Number of persons,0,"2,809,000",,2809000.0
SAINC1-3,22000,Louisiana,1942,Per capita personal income (dollars),Dollars,0,617,,617.0
SAINC1-2,22000,Louisiana,1942,Population (persons),Number of persons,0,"2,541,000",,2541000.0
SAINC1-3,23000,Maine,1942,Per capita personal income (dollars),Dollars,0,873,,873.0
SAINC1-2,23000,Maine,1942,Population (persons),Number of persons,0,"838,000",,838000.0
SAINC1-3,24000,Maryland,1942,Per capita personal income (dollars),Dollars,0,"1,157",,1157.0
SAINC1-2,24000,Maryland,1942,Population (persons),Number of persons,0,"2,012,000",,2012000.0
SAINC1-3,25000,Massachusetts,1942,Per capita personal income (dollars),Dollars,0,"1,102",,1102.0
SAINC1-2,25000,Massachusetts,1942,Population (persons),Number of persons,0,"4,386,000",,4386000.0
SAINC1-3,26000,Michigan,1942,Per capita personal income (dollars),Dollars,0,"1,058",,1058.0
SAINC1-2,26000,Michigan,1942,Population (persons),Number of persons,0,"5,552,000",,5552000.0
SAINC1-3,27000,Minnesota,1942,Per capita personal income (dollars),Dollars,0,799,,799.0
SAINC1-2,27000,Minnesota,1942,Population (persons),Number of persons,0,"2,662,000",,2662000.0
SAINC1-3,28000,Mississippi,1942,Per capita personal income (dollars),Dollars,0,457,,457.0
SAINC1-2,28000,Mississippi,1942,Population (persons),Number of persons,0,"2,204,000",,2204000.0
SAINC1-3,29000,Missouri,1942,Per capita personal income (dollars),Dollars,0,819,,819.0
SAINC1-2,29000,Missouri,1942,Population (persons),Number of persons,0,"3,829,000",,3829000.0
SAINC1-3,30000,Montana,1942,Per capita personal income (dollars),Dollars,0,901,,901.0
SAINC1-2,30000,Montana,1942,Population (persons),Number of persons,0,"521,000",,521000.0
SAINC1-3,31000,Nebraska,1942,Per capita personal income (dollars),Dollars,0,823,,823.0
SAINC1-2,31000,Nebraska,1942,Population (persons),Number of persons,0,"1,245,000",,1245000.0
SAINC1-3,32000,Nevada,1942,Per capita personal income (dollars),Dollars,0,"1,592",,1592.0
SAINC1-2,32000,Nevada,1942,Population (persons),Number of persons,0,"139,000",,139000.0
SAINC1-3,33000,New Hampshire,1942,Per capita personal income (dollars),Dollars,0,871,,871.0
SAINC1-2,33000,New Hampshire,1942,Population (persons),Number of persons,0,"482,000",,482000.0
SAINC1-3,34000,New Jersey,1942,Per capita personal income (dollars),Dollars,0,"1,185",,1185.0
SAINC1-2,34000,New Jersey,1942,Population (persons),Number of persons,0,"4,314,000",,4314000.0
SAINC1-3,35000,New Mexico,1942,Per capita personal income (dollars),Dollars,0,656,,656.0
SAINC1-2,35000,New Mexico,1942,Population (persons),Number of persons,0,"508,000",,508000.0
SAINC1-3,36000,New York,1942,Per capita personal income (dollars),Dollars,0,"1,191",,1191.0
SAINC1-2,36000,New York,1942,Population (persons),Number of persons,0,"13,010,000",,13010000.0
SAINC1-3,37000,North Carolina,1942,Per capita personal income (dollars),Dollars,0,588,,588.0
SAINC1-2,37000,North Carolina,1942,Population (persons),Number of persons,0,"3,590,000",,3590000.0
SAINC1-3,38000,North Dakota,1942,Per capita personal income (dollars),Dollars,0,658,,658.0
SAINC1-2,38000,North Dakota,1942,Population (persons),Number of persons,0,"583,000",,583000.0
SAINC1-3,39000,Ohio,1942,Per capita personal income (dollars),Dollars,0,"1,032",,1032.0
SAINC1-2,39000,Ohio,1942,Population (persons),Number of persons,0,"6,970,000",,6970000.0
SAINC1-3,40000,Oklahoma,1942,Per capita personal income (dollars),Dollars,0,639,,639.0
SAINC1-2,40000,Oklahoma,1942,Population (persons),Number of persons,0,"2,228,000",,2228000.0
SAINC1-3,41000,Oregon,1942,Per capita personal income (dollars),Dollars,0,"1,132",,1132.0
SAINC1-2,41000,Oregon,1942,Population (persons),Number of persons,0,"1,128,000",,1128000.0
SAINC1-3,42000,Pennsylvania,1942,Per capita personal income (dollars),Dollars,0,965,,965.0
SAINC1-2,42000,Pennsylvania,1942,Population (persons),Number of persons,0,"9,714,000",,9714000.0
SAINC1-3,44000,Rhode Island,1942,Per capita personal income (dollars),Dollars,0,"1,189",,1189.0
SAINC1-2,44000,Rhode Island,1942,Population (persons),Number of persons,0,"778,000",,778000.0
SAINC1-3,45000,South Carolina,1942,Per capita personal income (dollars),Dollars,0,580,,580.0
SAINC1-2,45000,South Carolina,1942,Population (persons),Number of persons,0,"2,017,000",,2017000.0
SAINC1-3,46000,South Dakota,1942,Per capita personal income (dollars),Dollars,0,755,,755.0
SAINC1-2,46000,South Dakota,1942,Population (persons),Number of persons,0,"597,000",,597000.0
SAINC1-3,47000,Tennessee,1942,Per capita personal income (dollars),Dollars,0,570,,570.0
SAINC1-2,47000,Tennessee,1942,Population (persons),Number of persons,0,"2,953,000",,2953000.0
SAINC1-3,48000,Texas,1942,Per capita personal income (dollars),Dollars,0,742,,742.0
SAINC1-2,48000,Texas,1942,Population (persons),Number of persons,0,"6,770,000",,6770000.0
SAINC1-3,49000,Utah,1942,Per capita personal income (dollars),Dollars,0,907,,907.0
SAINC1-2,49000,Utah,1942,Population (persons),Number of persons,0,"582,000",,582000.0
SAINC1-3,50000,Vermont,1942,Per capita personal income (dollars),Dollars,0,783,,783.0
SAINC1-2,50000,Vermont,1942,Population (persons),Number of persons,0,"345,000",,345000.0
SAINC1-3,51000,Virginia,1942,Per capita personal income (dollars),Dollars,0,847,,847.0
SAINC1-2,51000,Virginia,1942,Population (persons),Number of persons,0,"3,311,000",,3311000.0
SAINC1-3,53000,Washington,1942,Per capita personal income (dollars),Dollars,0,"1,233",,1233.0
SAINC1-2,53000,Washington,1942,Population (persons),Number of persons,0,"1,904,000",,1904000.0
SAINC1-3,54000,West Virginia,1942,Per capita personal income (dollars),Dollars,0,617,,617.0
SAINC1-2,54000,West Virginia,1942,Population (persons),Number of persons,0,"1,832,000",,1832000.0
SAINC1-3,55000,Wisconsin,1942,Per capita personal income (dollars),Dollars,0,872,,872.0
SAINC1-2,55000,Wisconsin,1942,Population (persons),Number of persons,0,"3,066,000",,3066000.0
SAINC1-3,56000,Wyoming,1942,Per capita personal income (dollars),Dollars,0,974,,974.0
SAINC1-2,56000,Wyoming,1942,Population (persons),Number of persons,0,"249,000",,249000.0
SAINC1-3,01000,Alabama,1943,Per capita personal income (dollars),Dollars,0,676,,676.0
SAINC1-2,01000,Alabama,1943,Population (persons),Number of persons,0,"2,887,000",,2887000.0
SAINC1-3,02000,Alaska *,1943,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,02000,Alaska *,1943,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,04000,Arizona,1943,Per capita personal income (dollars),Dollars,0,"1,045",,1045.0
SAINC1-2,04000,Arizona,1943,Population (persons),Number of persons,0,"661,000",,661000.0
SAINC1-3,05000,Arkansas,1943,Per capita personal income (dollars),Dollars,0,572,,572.0
SAINC1-2,05000,Arkansas,1943,Population (persons),Number of persons,0,"1,839,000",,1839000.0
SAINC1-3,06000,California,1943,Per capita personal income (dollars),Dollars,0,"1,589",,1589.0
SAINC1-2,06000,California,1943,Population (persons),Number of persons,0,"8,623,000",,8623000.0
SAINC1-3,08000,Colorado,1943,Per capita personal income (dollars),Dollars,0,"1,067",,1067.0
SAINC1-2,08000,Colorado,1943,Population (persons),Number of persons,0,"1,151,000",,1151000.0
SAINC1-3,09000,Connecticut,1943,Per capita personal income (dollars),Dollars,0,"1,621",,1621.0
SAINC1-2,09000,Connecticut,1943,Population (persons),Number of persons,0,"1,797,000",,1797000.0
SAINC1-3,10000,Delaware,1943,Per capita personal income (dollars),Dollars,0,"1,491",,1491.0
SAINC1-2,10000,Delaware,1943,Population (persons),Number of persons,0,"281,000",,281000.0
SAINC1-3,11000,District of Columbia,1943,Per capita personal income (dollars),Dollars,0,"1,630",,1630.0
SAINC1-2,11000,District of Columbia,1943,Population (persons),Number of persons,0,"888,000",,888000.0
SAINC1-3,12000,Florida,1943,Per capita personal income (dollars),Dollars,0,"1,057",,1057.0
SAINC1-2,12000,Florida,1943,Population (persons),Number of persons,0,"2,497,000",,2497000.0
SAINC1-3,13000,Georgia,1943,Per capita personal income (dollars),Dollars,0,749,,749.0
SAINC1-2,13000,Georgia,1943,Population (persons),Number of persons,0,"3,245,000",,3245000.0
SAINC1-3,15000,Hawaii *,1943,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,15000,Hawaii *,1943,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,16000,Idaho,1943,Per capita personal income (dollars),Dollars,0,"1,040",,1040.0
SAINC1-2,16000,Idaho,1943,Population (persons),Number of persons,0,"499,000",,499000.0
SAINC1-3,17000,Illinois,1943,Per capita personal income (dollars),Dollars,0,"1,278",,1278.0
SAINC1-2,17000,Illinois,1943,Population (persons),Number of persons,0,"7,765,000",,7765000.0
SAINC1-3,18000,Indiana,1943,Per capita personal income (dollars),Dollars,0,"1,150",,1150.0
SAINC1-2,18000,Indiana,1943,Population (persons),Number of persons,0,"3,444,000",,3444000.0
SAINC1-3,19000,Iowa,1943,Per capita personal income (dollars),Dollars,0,"1,024",,1024.0
SAINC1-2,19000,Iowa,1943,Population (persons),Number of persons,0,"2,332,000",,2332000.0
SAINC1-3,20000,Kansas,1943,Per capita personal income (dollars),Dollars,0,"1,062",,1062.0
SAINC1-2,20000,Kansas,1943,Population (persons),Number of persons,0,"1,802,000",,1802000.0
SAINC1-3,21000,Kentucky,1943,Per capita personal income (dollars),Dollars,0,717,,717.0
SAINC1-2,21000,Kentucky,1943,Population (persons),Number of persons,0,"2,690,000",,2690000.0
SAINC1-3,22000,Louisiana,1943,Per capita personal income (dollars),Dollars,0,811,,811.0
SAINC1-2,22000,Louisiana,1943,Population (persons),Number of persons,0,"2,560,000",,2560000.0
SAINC1-3,23000,Maine,1943,Per capita personal income (dollars),Dollars,0,"1,126",,1126.0
SAINC1-2,23000,Maine,1943,Population (persons),Number of persons,0,"806,000",,806000.0
SAINC1-3,24000,Maryland,1943,Per capita personal income (dollars),Dollars,0,"1,325",,1325.0
SAINC1-2,24000,Maryland,1943,Population (persons),Number of persons,0,"2,097,000",,2097000.0
SAINC1-3,25000,Massachusetts,1943,Per capita personal income (dollars),Dollars,0,"1,296",,1296.0
SAINC1-2,25000,Massachusetts,1943,Population (persons),Number of persons,0,"4,277,000",,4277000.0
SAINC1-3,26000,Michigan,1943,Per capita personal income (dollars),Dollars,0,"1,372",,1372.0
